QPS,Recall
18864.93,68.25
19866.54,80.60
17538.12,85.95
14771.22,88.75
13347.13,90.25
11920.08,91.30
10776.74,92.40
9658.87,92.85
9003.15,93.65
8374.29,94.10
6335.01,96.20
5073.72,96.95
4313.76,97.45
3763.14,97.65
3522.22,97.80
3157.50,97.95
2559.80,98.55
2148.59,98.80
1916.12,98.85
1795.04,99.15
1595.76,99.20
