QPS,Recall
378.743,0.99955
468.32,0.99933
509.806,0.99919
559.879,0.99891
621.99,0.99872
701.289,0.99843
801.183,0.99774
945.81,0.99676
1148.38,0.99495
1498.74,0.99172
1765.23,0.98869
2155.44,0.98403
2364.35,0.9811
2620.37,0.97737
2944.48,0.97296
3352.28,0.96645
3901.39,0.95651
4264.64,0.94963
4683.35,0.94195
5214.88,0.93121
5774.12,0.91732
6281.65,0.90863
6732.42,0.89812
7271.49,0.88579
7898.45,0.87265
8673.44,0.85259
9572.87,0.83046
10751.9,0.79915
12249.7,0.75951
13011.4,0.73787
13018.2,0.73897
