QPS,Recall@k10
860.2446,0.148
864.0578,0.148
884.7796,0.148
868.3721,0.148
879.2252,0.148
873.351,0.148
867.9915,0.1475
812.2619,0.148
690.9274,0.1545
646.6152,0.155
642.3268,0.1545
632.4711,0.1545
633,0.1545
625.7254,0.1545
601.9708,0.1545
573.7252,0.1545
