QPS,Recall@k10
416.67,0.3506
416.51,0.3506
417.58,0.3506
417.16,0.3506
418.04,0.3506
417.68,0.3506
417.62,0.3506
417.47,0.3506
411.58,0.3504
391.66,0.3513
353.65,0.3525
273,0.3577
197.52,0.3615
110.41,0.3648
69.6,0.3677
63.19,0.3678
58.64,0.3678
54.09,0.3678
