QPS,Recall@k10
734.8376,0.361
788.9297,0.361
784.7384,0.361
790.7639,0.361
784.0953,0.361
795.4689,0.361
780.3051,0.361
794.8525,0.361
757.8456,0.3605
689.0231,0.3605
575.3989,0.3605
481.9428,0.3615
445.9677,0.3615
431.2325,0.361
413.7925,0.361
401.3155,0.361
317.3152,0.361
227.2756,0.361
