QPS,Recall@k10
1437.2,0.9622
1438.12,0.9622
1438.58,0.9622
1437.11,0.9622
1439.03,0.9622
1438.98,0.9622
1429.95,0.9622
1406.29,0.9629
1287.32,0.9668
1097.87,0.9738
936.75,0.98
743.9,0.9867
629.45,0.9895
563.43,0.9904
553.77,0.9904
537.67,0.9904
438.48,0.9904
322.42,0.9904
