QPS,Recall@k10
912.17,0.4616
913.08,0.4616
913.55,0.4616
911.28,0.4616
906.56,0.4616
906.63,0.4616
905.89,0.4616
906.03,0.4616
893.18,0.4617
848.62,0.4627
776.67,0.4642
629.44,0.4694
480.6,0.4763
284.62,0.4859
144.93,0.4886
85.89,0.4873
50.04,0.4858
36.63,0.4858
