QPS,Recall@k10
694.03,0.529
470.957,0.7445
353.477,0.83
294.781,0.8855
247.752,0.9265
216.511,0.957
192.145,0.967
170.706,0.9745
157.036,0.984
144.991,0.989
126.156,0.992
106.892,0.9975
86.2591,0.9985
63.7231,0.9995
