QPS,Recall@k10
138.696,0.332
135.318,0.528
133.156,0.646
132.188,0.721
130.293,0.7855
128.205,0.8275
124.224,0.8725
119.832,0.909
111.235,0.9535
103.359,0.972
96.8992,0.983
90.7029,0.9865
85.6531,0.9925
81.4664,0.9965
77.4893,0.9975
73.7735,0.998
67.9348,0.999
