QPS,Recall@k10
2963.31,0.4915
2631.06,0.6785
2381.09,0.777
2147.54,0.836
1998.8,0.8715
1862.49,0.904
1758.49,0.9265
1649.14,0.9445
1568.52,0.9585
1490.24,0.9685
1369.02,0.9795
1189.32,0.9905
987.567,0.9955
742.302,0.9995
