QPS,Recall@k10
115.393,0.138
111.346,0.2327
108.873,0.3085
105.574,0.3664
103.37,0.4192
100.543,0.4639
96.2557,0.5326
91.5499,0.5867
82.0143,0.6806
73.9864,0.7379
67.1411,0.7853
62.4883,0.8228
58.0619,0.8482
53.9636,0.8677
50.3728,0.8859
47.5556,0.9003
42.8064,0.9237
38.2673,0.9416
35.2001,0.954
32.759,0.9626
30.4925,0.9697
26.6248,0.9811
23.6423,0.987
21.2576,0.9919
19.5672,0.9939
17.9701,0.9957
