nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.91,3356.91
1500,3356.73,3356.73
2500,3356.89,3356.89
3500,3356.86,3356.86
4500,3356.79,3356.79
5500,3356.72,3356.72
6500,3356.82,3356.82
7500,3356.99,3356.99
8500,3356.61,3356.61
9500,3356.82,3356.82
10500,3356.79,3356.79
11500,3356.95,3356.95
12500,3357.02,3357.02
13500,3356.79,3356.79
14500,3356.68,3356.68
15500,3356.7,3356.7
16500,3356.91,3356.91
17500,3356.8,3356.8
18500,3356.68,3356.68
19500,3356.75,3356.75
20500,3356.68,3356.68
21500,3356.9,3356.9
22500,3356.94,3356.94
23500,3356.74,3356.74
24500,3356.68,3356.68
25500,3356.75,3356.75
26500,3356.74,3356.74
27500,3356.83,3356.83
28500,3356.68,3356.68
29500,3356.79,3356.79
30000,3356.69,3356.69
