nprobe,QPS,Recall@10
500,3933.86,0.2095
1500,1759.68,0.4685
2500,958.09,0.6165
3500,819.997,0.703
4500,502.238,0.756
5500,973.039,0.8005
6500,816.741,0.825
7500,683.615,0.861
8500,556.398,0.881
9500,590.464,0.9005
10500,525.015,0.911
11500,459.127,0.9195
12500,411.706,0.9285
13500,406.464,0.9375
14500,364.15,0.9425
15500,350.375,0.9465
16500,329.236,0.95
17500,306.028,0.9525
18500,306.709,0.957
19500,271.739,0.957
20500,262.26,0.961
21500,268.461,0.964
22500,281.034,0.9675
23500,308.516,0.969
24500,311.306,0.9725
25500,334.089,0.9725
26500,311.205,0.9735
27500,212.499,0.9745
28500,212.193,0.975
29500,282.105,0.9755
30000,230.667,0.976
