nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3478.08,3478.08
1500,3477.78,3477.78
2500,3477.88,3477.88
3500,3478.05,3478.05
4500,3477.94,3477.94
5500,3477.94,3477.94
6500,3477.94,3477.94
7500,3477.91,3477.91
8500,3478.11,3478.11
9500,3478.1,3478.1
10500,3478,3478
11500,3478.09,3478.09
12500,3478.09,3478.09
13500,3478.04,3478.04
14500,3477.93,3477.93
15500,3478.16,3478.16
16500,3477.9,3477.9
17500,3478.07,3478.07
18500,3477.99,3477.99
19500,3478.01,3478.01
20500,3477.97,3477.97
21500,3478.08,3478.08
22500,3478.07,3478.07
23500,3478.14,3478.14
24500,3478.12,3478.12
25500,3477.93,3477.93
26500,3477.8,3477.8
27500,3478.07,3478.07
28500,3478.09,3478.09
29500,3477.98,3477.98
30000,3477.8,3477.8
