nprobe,QPS,Recall@10
500,141512,0.51353
1500,79740.5,0.71469
2500,53176,0.80123
3500,39736.7,0.85039
4500,31520.4,0.88339
5500,26133.5,0.90492
6500,22258.6,0.92198
7500,18570.3,0.93475
8500,17270.2,0.94419
9500,15529.1,0.95126
10500,14033.4,0.9574
11500,12817.5,0.96219
12500,11963.3,0.9662
13500,11079.9,0.96954
14500,10306.8,0.9722
15500,9237.5,0.97442
16500,9120.51,0.97615
17500,8653.72,0.97781
18500,8204.08,0.97902
19500,7808.01,0.97999
20500,7453.73,0.98086
21500,7119.58,0.98157
22500,6851.67,0.98238
23500,6590.84,0.98279
24500,6328.68,0.9831
25500,6133.16,0.98332
26500,5908.46,0.98352
27500,5750.87,0.98357
28500,5572.91,0.98387
29500,5427.19,0.98395
30000,5343.2,0.98403
