nprobe,QPS,Recall@10
500,4585.76,0.97812
1500,1948.57,0.9827
2500,1214.58,0.9827
3500,947.97,0.9827
4500,938.365,0.9827
5500,949.891,0.9827
6500,932.75,0.9827
7500,947.104,0.9827
8500,950.232,0.9827
9500,946.997,0.9827
10500,948.618,0.9827
11500,945.103,0.9827
12500,949.782,0.9827
13500,946.193,0.9827
14500,948.096,0.9827
15500,948.115,0.9827
16500,948.996,0.9827
17500,948.94,0.9827
18500,944.961,0.9827
19500,946.191,0.9827
20500,944.319,0.9827
21500,946.805,0.9827
22500,953.943,0.9827
23500,948.574,0.9827
24500,941.459,0.9827
25500,949.336,0.9827
26500,950.645,0.9827
27500,945.881,0.9827
28500,945.768,0.9827
29500,943.915,0.9827
30000,949.108,0.9827
