nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.21,7505.21
1500,7505.03,7505.03
2500,7504.93,7504.93
3500,7505.14,7505.14
4500,7505.23,7505.23
5500,7505.12,7505.12
6500,7504.82,7504.82
7500,7504.95,7504.95
8500,7505.09,7505.09
9500,7505.12,7505.12
10500,7504.99,7504.99
11500,7504.86,7504.86
12500,7504.98,7504.98
13500,7505.23,7505.23
14500,7505.18,7505.18
15500,7505.13,7505.13
16500,7504.96,7504.96
17500,7505.1,7505.1
18500,7505.22,7505.22
19500,7505.23,7505.23
20500,7505.07,7505.07
21500,7504.93,7504.93
22500,7504.93,7504.93
23500,7504.98,7504.98
24500,7505.09,7505.09
25500,7505.22,7505.22
26500,7505.13,7505.13
27500,7505.19,7505.19
28500,7505.21,7505.21
29500,7505.04,7505.04
30000,7504.92,7504.92
