nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1275.85,1275.85
1500,1276.03,1276.03
2500,1276.26,1276.26
3500,1276.07,1276.07
4500,1276.26,1276.26
5500,1275.89,1275.89
6500,1276.2,1276.2
7500,1276,1276
8500,1276.07,1276.07
9500,1275.98,1275.98
10500,1276.18,1276.18
11500,1276.19,1276.19
12500,1276.2,1276.2
13500,1276.2,1276.2
14500,1276.03,1276.03
15500,1276.06,1276.06
16500,1276.2,1276.2
17500,1276.01,1276.01
18500,1276.23,1276.23
19500,1276.21,1276.21
20500,1276.19,1276.19
21500,1276.14,1276.14
22500,1275.94,1275.94
23500,1276.2,1276.2
24500,1276.13,1276.13
25500,1276.02,1276.02
26500,1276.2,1276.2
27500,1276.12,1276.12
28500,1276.26,1276.26
29500,1276.05,1276.05
30000,1276.02,1276.02
