nprobe,QPS,Recall@10
500,8074.28,0.8875
1500,5326.42,0.967
2500,4338.72,0.98
3500,3588.34,0.982
4500,2733.14,0.9835
5500,2353.51,0.983
6500,2087.61,0.9835
7500,1832.79,0.984
8500,1633.92,0.9845
9500,1463.07,0.9845
10500,1343.21,0.9845
11500,1240.57,0.9845
12500,1178.86,0.9845
13500,1062.51,0.9845
14500,1020.34,0.9845
15500,926.074,0.9845
16500,921.978,0.9845
17500,860.757,0.9845
18500,803.689,0.9845
19500,735.888,0.9845
20500,691.582,0.9845
21500,650.749,0.9845
22500,635.443,0.9845
23500,601.138,0.9845
24500,607.458,0.9845
25500,571.382,0.9845
26500,549.048,0.9845
27500,517.629,0.9845
28500,478.462,0.9845
29500,459.01,0.9845
30000,471.663,0.9845
