nprobe,QPS,Recall@10
500,6097.58,0.741
1500,3645.76,0.943
2500,2533.16,0.968
3500,1952.42,0.977
4500,1593.51,0.9795
5500,1345.4,0.9815
6500,1155.64,0.982
7500,1006.19,0.982
8500,882.626,0.982
9500,799.619,0.9825
10500,717.764,0.9825
11500,665.668,0.983
12500,619.172,0.983
13500,574.42,0.983
14500,541.215,0.983
15500,508.312,0.9835
16500,478.77,0.9835
17500,450.924,0.9835
18500,428.452,0.9835
19500,411.248,0.9835
20500,391.757,0.9835
21500,371.917,0.9835
22500,354.386,0.9835
23500,342.484,0.9835
24500,330.173,0.9835
25500,316.35,0.9835
26500,306.432,0.9835
27500,295.445,0.9835
28500,284.231,0.9835
29500,273.263,0.9835
30000,271.293,0.9835
