nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.81,1153.81
1500,1153.9,1153.9
2500,1153.87,1153.87
3500,1154.17,1154.17
4500,1154.17,1154.17
5500,1154,1154
6500,1153.94,1153.94
7500,1153.77,1153.77
8500,1153.93,1153.93
9500,1153.8,1153.8
10500,1153.92,1153.92
11500,1154.04,1154.04
12500,1153.94,1153.94
13500,1154.06,1154.06
14500,1154.09,1154.09
15500,1153.82,1153.82
16500,1154.03,1154.03
17500,1154.14,1154.14
18500,1154.16,1154.16
19500,1153.81,1153.81
20500,1154.11,1154.11
21500,1154.06,1154.06
22500,1154.03,1154.03
23500,1154.14,1154.14
24500,1154.04,1154.04
25500,1154.07,1154.07
26500,1154.08,1154.08
27500,1154.11,1154.11
28500,1154.09,1154.09
29500,1154.11,1154.11
30000,1154.04,1154.04
