nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.07,7505.07
1500,7505.19,7505.19
2500,7505.14,7505.14
3500,7504.94,7504.94
4500,7504.96,7504.96
5500,7504.94,7504.94
6500,7505.11,7505.11
7500,7504.96,7504.96
8500,7505.27,7505.27
9500,7504.9,7504.9
10500,7505.23,7505.23
11500,7504.97,7504.97
12500,7504.91,7504.91
13500,7505,7505
14500,7505.3,7505.3
15500,7505.21,7505.21
16500,7504.97,7504.97
17500,7505.14,7505.14
18500,7505.03,7505.03
19500,7505.29,7505.29
20500,7505.04,7505.04
21500,7505.26,7505.26
22500,7505.12,7505.12
23500,7505.19,7505.19
24500,7505.08,7505.08
25500,7505.08,7505.08
26500,7505.06,7505.06
27500,7505.18,7505.18
28500,7505.23,7505.23
29500,7505.24,7505.24
30000,7505.19,7505.19
