nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.34,1256.34
1500,1256.44,1256.44
2500,1256.35,1256.35
3500,1256.37,1256.37
4500,1256.12,1256.12
5500,1256.12,1256.12
6500,1256.39,1256.39
7500,1256.36,1256.36
8500,1256.16,1256.16
9500,1256.22,1256.22
10500,1256.25,1256.25
11500,1256.39,1256.39
12500,1256.37,1256.37
13500,1256.16,1256.16
14500,1256.1,1256.1
15500,1256.38,1256.38
16500,1256.39,1256.39
17500,1256.32,1256.32
18500,1256.25,1256.25
19500,1256.01,1256.01
20500,1256.39,1256.39
21500,1256.46,1256.46
22500,1256.34,1256.34
23500,1256.36,1256.36
24500,1256.42,1256.42
25500,1256.09,1256.09
26500,1256.39,1256.39
27500,1256.33,1256.33
28500,1256.33,1256.33
29500,1256.43,1256.43
30000,1256.37,1256.37
