nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.4648,93.4648
1500,93.5938,93.5938
2500,93.3828,93.3828
3500,93.418,93.418
4500,93.3516,93.3516
5500,93.6133,93.6133
6500,93.2266,93.2266
7500,93.5312,93.5312
8500,93.4844,93.4844
9500,93.5234,93.5234
10500,93.6094,93.6094
11500,93.4023,93.4023
12500,93.3672,93.3672
13500,93.5508,93.5508
14500,93.418,93.418
15500,93.2617,93.2617
16500,93.3711,93.3711
17500,93.418,93.418
18500,93.3242,93.3242
19500,93.3555,93.3555
20500,93.5742,93.5742
21500,93.4805,93.4805
22500,93.2812,93.2812
23500,93.5273,93.5273
24500,93.5703,93.5703
25500,93.6211,93.6211
26500,93.4922,93.4922
27500,93.4023,93.4023
28500,93.5312,93.5312
29500,93.5859,93.5859
30000,93.5352,93.5352
