nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.43,1256.43
1500,1256.35,1256.35
2500,1256.41,1256.41
3500,1256.33,1256.33
4500,1255.98,1255.98
5500,1256.3,1256.3
6500,1256.33,1256.33
7500,1256.41,1256.41
8500,1256.33,1256.33
9500,1256.36,1256.36
10500,1256.39,1256.39
11500,1256.32,1256.32
12500,1256.48,1256.48
13500,1256.38,1256.38
14500,1256.24,1256.24
15500,1256.08,1256.08
16500,1256.16,1256.16
17500,1256.38,1256.38
18500,1256.34,1256.34
19500,1256.3,1256.3
20500,1256.35,1256.35
21500,1256.45,1256.45
22500,1256.25,1256.25
23500,1256.29,1256.29
24500,1256.12,1256.12
25500,1256.39,1256.39
26500,1256.46,1256.46
27500,1256.48,1256.48
28500,1256.2,1256.2
29500,1256.39,1256.39
30000,1256.22,1256.22
