nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1276.1,1276.1
1500,1276.1,1276.1
2500,1276.19,1276.19
3500,1276.08,1276.08
4500,1275.89,1275.89
5500,1275.87,1275.87
6500,1276.12,1276.12
7500,1276.19,1276.19
8500,1276.1,1276.1
9500,1276.2,1276.2
10500,1275.81,1275.81
11500,1276.07,1276.07
12500,1276.13,1276.13
13500,1275.95,1275.95
14500,1276.18,1276.18
15500,1276,1276
16500,1275.84,1275.84
17500,1276.07,1276.07
18500,1275.93,1275.93
19500,1276.01,1276.01
20500,1275.89,1275.89
21500,1276.2,1276.2
22500,1275.95,1275.95
23500,1275.95,1275.95
24500,1275.98,1275.98
25500,1276.26,1276.26
26500,1275.91,1275.91
27500,1276.01,1276.01
28500,1275.93,1275.93
29500,1276.2,1276.2
30000,1276.14,1276.14
