nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1030.42,1030.42
1500,1030.53,1030.53
2500,1030.77,1030.77
3500,1030.59,1030.59
4500,1030.56,1030.56
5500,1030.76,1030.76
6500,1030.73,1030.73
7500,1030.82,1030.82
8500,1030.34,1030.34
9500,1030.47,1030.47
10500,1030.55,1030.55
11500,1030.67,1030.67
12500,1030.73,1030.73
13500,1030.81,1030.81
14500,1030.52,1030.52
15500,1030.4,1030.4
16500,1030.59,1030.59
17500,1030.51,1030.51
18500,1030.5,1030.5
19500,1030.71,1030.71
20500,1030.61,1030.61
21500,1030.54,1030.54
22500,1030.82,1030.82
23500,1030.68,1030.68
24500,1030.75,1030.75
25500,1030.5,1030.5
26500,1030.69,1030.69
27500,1030.4,1030.4
28500,1030.64,1030.64
29500,1030.61,1030.61
30000,1030.5,1030.5
