nprobe,QPS,Recall@10
500,82143.2,0.19213
1500,57672.3,0.44995
2500,40029.2,0.57908
3500,30261.4,0.66201
4500,25560.5,0.72034
5500,20493,0.76393
6500,18168.7,0.79579
7500,15586.4,0.82122
8500,13993.2,0.84267
9500,13062.8,0.86055
10500,10631.2,0.87501
11500,10262.4,0.88683
12500,9683.07,0.89709
13500,9040.73,0.90626
14500,7989.88,0.91385
15500,8104.26,0.92059
16500,7209.22,0.92678
17500,6671.36,0.93223
18500,6298.66,0.9369
19500,5826.2,0.94072
20500,6095.61,0.94436
21500,5626.36,0.94734
22500,5389.69,0.95041
23500,5311.43,0.95285
24500,4973.79,0.95544
25500,4817.53,0.95773
26500,4409.68,0.95975
27500,4607.73,0.96146
28500,4388.46,0.96305
29500,4042.69,0.96474
30000,4073.58,0.96535
