nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.79,3356.79
1500,3356.98,3356.98
2500,3356.85,3356.85
3500,3356.99,3356.99
4500,3356.93,3356.93
5500,3356.82,3356.82
6500,3356.95,3356.95
7500,3356.94,3356.94
8500,3356.93,3356.93
9500,3356.65,3356.65
10500,3356.79,3356.79
11500,3357.02,3357.02
12500,3357.02,3357.02
13500,3357.04,3357.04
14500,3356.69,3356.69
15500,3356.94,3356.94
16500,3356.91,3356.91
17500,3356.69,3356.69
18500,3356.89,3356.89
19500,3356.73,3356.73
20500,3356.73,3356.73
21500,3356.56,3356.56
22500,3356.9,3356.9
23500,3356.86,3356.86
24500,3356.91,3356.91
25500,3356.86,3356.86
26500,3356.9,3356.9
27500,3356.69,3356.69
28500,3356.81,3356.81
29500,3357,3357
30000,3356.94,3356.94
