nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1154.02,1154.02
1500,1154.02,1154.02
2500,1154.04,1154.04
3500,1154.05,1154.05
4500,1153.86,1153.86
5500,1154.12,1154.12
6500,1153.88,1153.88
7500,1154.15,1154.15
8500,1154.18,1154.18
9500,1153.81,1153.81
10500,1153.95,1153.95
11500,1153.88,1153.88
12500,1154.12,1154.12
13500,1153.95,1153.95
14500,1154,1154
15500,1153.87,1153.87
16500,1153.99,1153.99
17500,1154.15,1154.15
18500,1153.96,1153.96
19500,1154.09,1154.09
20500,1154.07,1154.07
21500,1154.17,1154.17
22500,1154.02,1154.02
23500,1154.18,1154.18
24500,1154,1154
25500,1154.07,1154.07
26500,1153.97,1153.97
27500,1154.1,1154.1
28500,1154.02,1154.02
29500,1153.86,1153.86
30000,1154.14,1154.14
