nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.3711,93.3711
1500,93.5977,93.5977
2500,93.2422,93.2422
3500,93.3281,93.3281
4500,93.5117,93.5117
5500,93.4375,93.4375
6500,93.6562,93.6562
7500,93.4062,93.4062
8500,93.5469,93.5469
9500,93.6406,93.6406
10500,93.6094,93.6094
11500,93.3906,93.3906
12500,93.5,93.5
13500,93.4453,93.4453
14500,93.4336,93.4336
15500,93.3516,93.3516
16500,93.582,93.582
17500,93.4023,93.4023
18500,93.5078,93.5078
19500,93.6562,93.6562
20500,93.4727,93.4727
21500,93.6562,93.6562
22500,93.4453,93.4453
23500,93.4453,93.4453
24500,93.5938,93.5938
25500,93.5312,93.5312
26500,93.5312,93.5312
27500,93.5977,93.5977
28500,93.3945,93.3945
29500,93.3672,93.3672
30000,93.4727,93.4727
