nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.04,1019.04
1500,1018.91,1018.91
2500,1019.13,1019.13
3500,1019.11,1019.11
4500,1019.07,1019.07
5500,1018.94,1018.94
6500,1019.11,1019.11
7500,1018.98,1018.98
8500,1019.11,1019.11
9500,1019.07,1019.07
10500,1019.1,1019.1
11500,1018.88,1018.88
12500,1018.98,1018.98
13500,1018.98,1018.98
14500,1019.04,1019.04
15500,1018.82,1018.82
16500,1018.87,1018.87
17500,1019.12,1019.12
18500,1019.04,1019.04
19500,1019.12,1019.12
20500,1019,1019
21500,1019.02,1019.02
22500,1019.04,1019.04
23500,1019.07,1019.07
24500,1018.82,1018.82
25500,1018.98,1018.98
26500,1018.93,1018.93
27500,1019.09,1019.09
28500,1019.17,1019.17
29500,1018.88,1018.88
30000,1019.13,1019.13
