nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.82,3356.82
1500,3357.02,3357.02
2500,3356.82,3356.82
3500,3356.88,3356.88
4500,3356.96,3356.96
5500,3356.84,3356.84
6500,3356.72,3356.72
7500,3356.79,3356.79
8500,3356.93,3356.93
9500,3357.02,3357.02
10500,3356.86,3356.86
11500,3356.9,3356.9
12500,3356.95,3356.95
13500,3356.82,3356.82
14500,3356.69,3356.69
15500,3356.79,3356.79
16500,3356.99,3356.99
17500,3356.61,3356.61
18500,3356.91,3356.91
19500,3356.85,3356.85
20500,3356.8,3356.8
21500,3356.75,3356.75
22500,3356.84,3356.84
23500,3356.9,3356.9
24500,3356.87,3356.87
25500,3357.03,3357.03
26500,3356.88,3356.88
27500,3356.76,3356.76
28500,3356.88,3356.88
29500,3356.98,3356.98
30000,3356.82,3356.82
