nprobe,QPS,Recall@10
500,6304.64,0.9365
1500,3535.89,0.9825
2500,3440.4,0.984
3500,1891.32,0.9845
4500,1756.62,0.9845
5500,1501.38,0.9845
6500,1319.53,0.9845
7500,1296.4,0.9845
8500,1259.72,0.9845
9500,1349.21,0.9845
10500,1254.5,0.9845
11500,988.278,0.9845
12500,1535.96,0.9845
13500,1523.55,0.9845
14500,1534.69,0.9845
15500,1046.21,0.9845
16500,1508.72,0.9845
17500,1563.26,0.9845
18500,1518.02,0.9845
19500,1432.75,0.9845
20500,1309.91,0.9845
21500,1339.05,0.9845
22500,1192.12,0.9845
23500,1533.64,0.9845
24500,1391.78,0.9845
25500,1473.72,0.9845
26500,1627.93,0.9845
27500,1156.04,0.9845
28500,1177.4,0.9845
29500,1168.11,0.9845
30000,1426.28,0.9845
