nprobe,QPS,Recall@10
500,11039.2,0.32088
1500,7875.47,0.59643
2500,6052.89,0.71559
3500,5029.64,0.78429
4500,4228.19,0.83107
5500,3651.63,0.86285
6500,3227.29,0.88581
7500,2892.08,0.9043
8500,2605.52,0.91842
9500,2368.64,0.92934
10500,2167.37,0.93726
11500,2025.01,0.94421
12500,1889.89,0.94979
13500,1774.62,0.95468
14500,1639.36,0.95843
15500,1568.05,0.96247
16500,1477.34,0.96519
17500,1396.43,0.96777
18500,1328.9,0.96985
19500,1269.27,0.9716
20500,1204.43,0.97331
21500,1157.93,0.97467
22500,1110.31,0.97588
23500,1057.24,0.97717
24500,1017.27,0.97818
25500,981.384,0.97882
26500,947.042,0.97949
27500,914.218,0.98006
28500,880.926,0.98055
29500,848.447,0.9811
30000,837.753,0.98126
