nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.4375,93.4375
1500,93.3945,93.3945
2500,93.2266,93.2266
3500,93.4219,93.4219
4500,93.3477,93.3477
5500,93.4922,93.4922
6500,93.4688,93.4688
7500,93.3398,93.3398
8500,93.4844,93.4844
9500,93.6211,93.6211
10500,93.625,93.625
11500,93.4688,93.4688
12500,93.25,93.25
13500,93.6562,93.6562
14500,93.6094,93.6094
15500,93.3906,93.3906
16500,93.3945,93.3945
17500,93.2969,93.2969
18500,93.6133,93.6133
19500,93.3203,93.3203
20500,93.2891,93.2891
21500,93.5703,93.5703
22500,93.4922,93.4922
23500,93.4375,93.4375
24500,93.418,93.418
25500,93.5078,93.5078
26500,93.4219,93.4219
27500,93.5195,93.5195
28500,93.3555,93.3555
29500,93.3984,93.3984
30000,93.4492,93.4492
