nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.73,1111.73
1500,1111.7,1111.7
2500,1111.87,1111.87
3500,1111.89,1111.89
4500,1111.66,1111.66
5500,1111.82,1111.82
6500,1111.83,1111.83
7500,1111.83,1111.83
8500,1111.79,1111.79
9500,1111.91,1111.91
10500,1111.92,1111.92
11500,1111.98,1111.98
12500,1111.65,1111.65
13500,1111.84,1111.84
14500,1111.85,1111.85
15500,1111.76,1111.76
16500,1111.83,1111.83
17500,1111.77,1111.77
18500,1111.77,1111.77
19500,1111.62,1111.62
20500,1111.7,1111.7
21500,1111.67,1111.67
22500,1111.83,1111.83
23500,1111.91,1111.91
24500,1111.52,1111.52
25500,1111.84,1111.84
26500,1111.88,1111.88
27500,1111.68,1111.68
28500,1111.74,1111.74
29500,1111.86,1111.86
30000,1111.65,1111.65
