nprobe,QPS,Recall@10
500,1701.68,0.6605
1500,537.688,0.8465
2500,372.94,0.9065
3500,255.41,0.9375
4500,197.346,0.9525
5500,246.977,0.9615
6500,225.33,0.9675
7500,294.415,0.9725
8500,288.528,0.9785
9500,212.357,0.979
10500,135.252,0.98
11500,215.71,0.981
12500,201.206,0.9815
13500,188.567,0.9815
14500,176.544,0.9815
15500,166.614,0.9825
16500,156.279,0.9865
17500,148.624,0.9875
18500,139.772,0.9875
19500,128.19,0.988
20500,125.673,0.988
21500,118.16,0.9885
22500,105.545,0.9885
23500,109.948,0.989
24500,100.556,0.989
25500,99.705,0.989
26500,83.6344,0.989
27500,72.7718,0.989
28500,36.9203,0.989
29500,29.113,0.989
30000,36.2828,0.989
