nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.98,1111.98
1500,1111.86,1111.86
2500,1111.94,1111.94
3500,1111.89,1111.89
4500,1111.64,1111.64
5500,1111.71,1111.71
6500,1111.89,1111.89
7500,1111.79,1111.79
8500,1111.7,1111.7
9500,1111.73,1111.73
10500,1111.89,1111.89
11500,1111.85,1111.85
12500,1112.02,1112.02
13500,1111.96,1111.96
14500,1111.65,1111.65
15500,1111.7,1111.7
16500,1111.78,1111.78
17500,1111.85,1111.85
18500,1111.78,1111.78
19500,1112.02,1112.02
20500,1111.7,1111.7
21500,1111.7,1111.7
22500,1112,1112
23500,1111.84,1111.84
24500,1111.72,1111.72
25500,1111.73,1111.73
26500,1111.73,1111.73
27500,1111.79,1111.79
28500,1111.65,1111.65
29500,1111.81,1111.81
30000,1111.95,1111.95
