nprobe,QPS,Recall@10
500,11745.1,0.12114
1500,8703.16,0.30857
2500,6825.31,0.41534
3500,5738.64,0.48136
4500,4857.23,0.52973
5500,4295.88,0.56518
6500,3770.25,0.5924
7500,3344.35,0.61576
8500,3035.05,0.63612
9500,2775.76,0.65368
10500,2574.65,0.66892
11500,2380.06,0.68287
12500,2229.18,0.69524
13500,2076.35,0.70635
14500,1959.54,0.71631
15500,1847.71,0.72569
16500,1750.91,0.7342
17500,1675.08,0.74251
18500,1594.77,0.75001
19500,1512.21,0.75652
20500,1445.36,0.76288
21500,1387.95,0.76892
22500,1339.28,0.77506
23500,1279.05,0.78058
24500,1240.2,0.7861
25500,1186.8,0.791
26500,1149.29,0.79564
27500,1110.2,0.80006
28500,1078.65,0.8044
29500,1041.31,0.80864
30000,1016.9,0.81073
