nprobe,QPS,Recall@10
500,3783.47,0.98056
1500,3089.95,0.98056
2500,2806.24,0.98056
3500,3075.34,0.98056
4500,3034.02,0.98056
5500,3084.59,0.98056
6500,3076.16,0.98056
7500,3075.79,0.98056
8500,3070.93,0.98056
9500,3071.64,0.98056
10500,3080.5,0.98056
11500,3090.63,0.98056
12500,3096.45,0.98056
13500,3096.68,0.98056
14500,3080.53,0.98056
15500,3075.39,0.98056
16500,3060.59,0.98056
17500,3028.77,0.98056
18500,3083.95,0.98056
19500,3073.37,0.98056
20500,3073.02,0.98056
21500,3096.86,0.98056
22500,3072.68,0.98056
23500,3070.81,0.98056
24500,3078.6,0.98056
25500,3084.74,0.98056
26500,3080.11,0.98056
27500,3056.9,0.98056
28500,3058.39,0.98056
29500,3081.87,0.98056
30000,3081,0.98056
