nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.32,7627.32
1500,7627.29,7627.29
2500,7627.11,7627.11
3500,7627.27,7627.27
4500,7627.14,7627.14
5500,7627.02,7627.02
6500,7627.24,7627.24
7500,7627.16,7627.16
8500,7627.31,7627.31
9500,7627.24,7627.24
10500,7627.21,7627.21
11500,7627.16,7627.16
12500,7626.94,7626.94
13500,7627.24,7627.24
14500,7627.11,7627.11
15500,7627.19,7627.19
16500,7627.16,7627.16
17500,7626.98,7626.98
18500,7627.3,7627.3
19500,7627.04,7627.04
20500,7627,7627
21500,7627.23,7627.23
22500,7627.13,7627.13
23500,7627.05,7627.05
24500,7627.29,7627.29
25500,7627.37,7627.37
26500,7627.02,7627.02
27500,7626.94,7626.94
28500,7627.2,7627.2
29500,7627.25,7627.25
30000,7627.11,7627.11
