nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.91,3356.91
1500,3356.86,3356.86
2500,3356.91,3356.91
3500,3356.73,3356.73
4500,3357.02,3357.02
5500,3356.79,3356.79
6500,3356.78,3356.78
7500,3357.04,3357.04
8500,3356.66,3356.66
9500,3356.97,3356.97
10500,3356.88,3356.88
11500,3356.93,3356.93
12500,3357,3357
13500,3356.6,3356.6
14500,3356.74,3356.74
15500,3356.88,3356.88
16500,3356.72,3356.72
17500,3356.98,3356.98
18500,3356.99,3356.99
19500,3356.77,3356.77
20500,3356.89,3356.89
21500,3356.81,3356.81
22500,3356.88,3356.88
23500,3356.72,3356.72
24500,3356.96,3356.96
25500,3357,3357
26500,3356.84,3356.84
27500,3356.93,3356.93
28500,3356.82,3356.82
29500,3356.68,3356.68
30000,3356.81,3356.81
