nprobe,QPS,Recall@10
500,6326.91,0.967
1500,6276.83,0.967
2500,7057.65,0.967
3500,6179.54,0.967
4500,6164.92,0.967
5500,6583.1,0.967
6500,6770.32,0.967
7500,7138.54,0.967
8500,6155.46,0.967
9500,6133.41,0.967
10500,6226.73,0.967
11500,6739.37,0.967
12500,6283.12,0.967
13500,6235.19,0.967
14500,6274.17,0.967
15500,6153.64,0.967
16500,6635.11,0.967
17500,7037.51,0.967
18500,6307.7,0.967
19500,6123.6,0.967
20500,6173.37,0.967
21500,6181.11,0.967
22500,5841.19,0.967
23500,6071.11,0.967
24500,6916.81,0.967
25500,6155.13,0.967
26500,7161.1,0.967
27500,6311.11,0.967
28500,6989.06,0.967
29500,6890.94,0.967
30000,6761.42,0.967
