nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1030.61,1030.61
1500,1030.58,1030.58
2500,1030.76,1030.76
3500,1030.67,1030.67
4500,1030.7,1030.7
5500,1030.73,1030.73
6500,1030.46,1030.46
7500,1030.67,1030.67
8500,1030.5,1030.5
9500,1030.62,1030.62
10500,1030.61,1030.61
11500,1030.73,1030.73
12500,1030.73,1030.73
13500,1030.71,1030.71
14500,1030.46,1030.46
15500,1030.48,1030.48
16500,1030.75,1030.75
17500,1030.52,1030.52
18500,1030.54,1030.54
19500,1030.73,1030.73
20500,1030.61,1030.61
21500,1030.72,1030.72
22500,1030.66,1030.66
23500,1030.71,1030.71
24500,1030.53,1030.53
25500,1030.56,1030.56
26500,1030.7,1030.7
27500,1030.77,1030.77
28500,1030.55,1030.55
29500,1030.76,1030.76
30000,1030.59,1030.59
