nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.3555,93.3555
1500,93.2383,93.2383
2500,93.3047,93.3047
3500,93.3203,93.3203
4500,93.6406,93.6406
5500,93.625,93.625
6500,93.3242,93.3242
7500,93.4414,93.4414
8500,93.4648,93.4648
9500,93.3984,93.3984
10500,93.5586,93.5586
11500,93.5469,93.5469
12500,93.5547,93.5547
13500,93.1758,93.1758
14500,93.4297,93.4297
15500,93.4883,93.4883
16500,93.4023,93.4023
17500,93.2852,93.2852
18500,93.4453,93.4453
19500,93.5859,93.5859
20500,93.3672,93.3672
21500,93.3477,93.3477
22500,93.4609,93.4609
23500,93.4883,93.4883
24500,93.3008,93.3008
25500,93.2773,93.2773
26500,93.3672,93.3672
27500,93.4648,93.4648
28500,93.3242,93.3242
29500,93.2617,93.2617
30000,93.5273,93.5273
500,93.5312,93.5312
1500,93.4922,93.4922
2500,93.5938,93.5938
3500,93.4062,93.4062
4500,93.582,93.582
5500,93.418,93.418
6500,93.4805,93.4805
7500,93.4453,93.4453
8500,93.6133,93.6133
9500,93.1641,93.1641
10500,93.4375,93.4375
11500,93.5938,93.5938
12500,93.2812,93.2812
13500,93.4961,93.4961
14500,93.3906,93.3906
15500,93.4648,93.4648
16500,93.5938,93.5938
17500,93.375,93.375
18500,93.5508,93.5508
19500,93.5312,93.5312
20500,93.3711,93.3711
21500,93.4453,93.4453
22500,93.5508,93.5508
23500,93.6211,93.6211
24500,93.3906,93.3906
25500,93.6562,93.6562
26500,93.4023,93.4023
27500,93.4375,93.4375
28500,93.3047,93.3047
29500,93.3477,93.3477
30000,93.4062,93.4062
