nprobe,QPS,Recall@10
500,14805.7,0.968
1500,50689.3,0.968
2500,6862.69,0.968
3500,6942.37,0.968
4500,7407.48,0.968
5500,11347,0.968
6500,16369.7,0.968
7500,9274.04,0.968
8500,10442.6,0.968
9500,7784.5,0.968
10500,5961.88,0.968
11500,10755.8,0.968
12500,8621.4,0.968
13500,5215.49,0.968
14500,24401.6,0.968
15500,20581,0.968
16500,5114.81,0.968
17500,50485.1,0.968
18500,19670.1,0.968
19500,8356.06,0.968
20500,16207.8,0.968
21500,11013.9,0.968
22500,13261.2,0.968
23500,11734.4,0.968
24500,4738.81,0.968
25500,45562.8,0.968
26500,5407.51,0.968
27500,8395.89,0.968
28500,4985.09,0.968
29500,12381.7,0.968
30000,4893.52,0.968
