nprobe,QPS,Recall@10
500,6748.45,0.323
1500,3802.51,0.625
2500,3360.14,0.7475
3500,3467.81,0.828
4500,3344.18,0.874
5500,2386.32,0.9045
6500,2172.98,0.926
7500,1429.8,0.937
8500,2044.91,0.947
9500,1911.77,0.954
10500,1804.64,0.961
11500,1513.52,0.962
12500,1432.68,0.9675
13500,1383.63,0.9685
14500,1269.97,0.971
15500,1350.79,0.9715
16500,1212.97,0.972
17500,1756.02,0.9745
18500,2001.94,0.9755
19500,1151.94,0.9765
20500,1225.09,0.9765
21500,1837.18,0.9785
22500,1736.71,0.979
23500,1693.49,0.98
24500,1709.18,0.9805
25500,1554.56,0.981
26500,1516.07,0.9805
27500,1477.36,0.9805
28500,1315.79,0.9815
29500,1213.73,0.9825
30000,1302.35,0.983
