nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1018.98,1018.98
1500,1018.82,1018.82
2500,1018.95,1018.95
3500,1019.22,1019.22
4500,1018.91,1018.91
5500,1018.92,1018.92
6500,1019.11,1019.11
7500,1018.85,1018.85
8500,1019.11,1019.11
9500,1019.03,1019.03
10500,1019.03,1019.03
11500,1019.07,1019.07
12500,1019.16,1019.16
13500,1018.98,1018.98
14500,1019.2,1019.2
15500,1018.88,1018.88
16500,1018.91,1018.91
17500,1018.96,1018.96
18500,1018.79,1018.79
19500,1018.86,1018.86
20500,1019.07,1019.07
21500,1019.12,1019.12
22500,1019.11,1019.11
23500,1018.97,1018.97
24500,1019.07,1019.07
25500,1018.95,1018.95
26500,1019.01,1019.01
27500,1019.14,1019.14
28500,1019.16,1019.16
29500,1018.89,1018.89
30000,1018.87,1018.87
