nprobe,QPS,Recall@10
500,3365.89,0.4667
1500,1803.79,0.7095
2500,1153.55,0.811
3500,877.806,0.8679
4500,648.658,0.8996
5500,589.775,0.9228
6500,519.233,0.9392
7500,458.371,0.9499
8500,407.465,0.9594
9500,371.797,0.9647
10500,341.733,0.9704
11500,316.09,0.9752
12500,293.088,0.9777
13500,275.706,0.9793
14500,256.158,0.9805
15500,240.893,0.9817
16500,227.577,0.9823
17500,214.214,0.9828
18500,202.753,0.9833
19500,193.08,0.9835
20500,183.739,0.9837
21500,175.497,0.9839
22500,156.22,0.9845
23500,147.847,0.9845
24500,141.515,0.9846
25500,146.86,0.9847
26500,145.628,0.9848
27500,130.375,0.9848
28500,125.258,0.985
29500,121.66,0.985
30000,117.099,0.985
