nprobe,QPS,Recall@10
500,4756.19,0.9745
1500,2612.8,0.9745
2500,5191.45,0.9745
3500,4504,0.9745
4500,5222.65,0.9745
5500,8455.92,0.9745
6500,4928.86,0.9745
7500,3264.99,0.9745
8500,3260.57,0.9745
9500,3969.89,0.9745
10500,4399.48,0.9745
11500,3151.98,0.9745
12500,3945.81,0.9745
13500,5678.63,0.9745
14500,6109.45,0.9745
15500,5149.62,0.9745
16500,4003.08,0.9745
17500,3928.33,0.9745
18500,3231.8,0.9745
19500,4231.32,0.9745
20500,3156.34,0.9745
21500,2821.26,0.9745
22500,2833.71,0.9745
23500,3010.87,0.9745
24500,3333.89,0.9745
25500,3272.12,0.9745
26500,4386.4,0.9745
27500,4773.36,0.9745
28500,3201.32,0.9745
29500,4099.71,0.9745
30000,5161.3,0.9745
