nprobe,QPS,Recall@10
500,5547.86,0.8275
1500,5264.21,0.9455
2500,3432.55,0.9705
3500,2496.66,0.9755
4500,1969.83,0.9775
5500,1450.46,0.978
6500,1427.59,0.98
7500,1544.01,0.981
8500,1358.56,0.9805
9500,1070.85,0.9805
10500,1021.65,0.9805
11500,908.954,0.9805
12500,745.147,0.9805
13500,774.364,0.9805
14500,673.068,0.9805
15500,644.396,0.9805
16500,601.653,0.9805
17500,613.974,0.9805
18500,621.633,0.9805
19500,514.735,0.9805
20500,600.229,0.9805
21500,511.596,0.9805
22500,515.828,0.9805
23500,483.959,0.9805
24500,460.684,0.9805
25500,175.468,0.9805
26500,171.161,0.9805
27500,180.804,0.9805
28500,452.007,0.9805
29500,481.621,0.9805
30000,260.056,0.9805
