nprobe,QPS,Recall@10
500,24716.1,0.1143
1500,9048.85,0.2524
2500,6034.5,0.3445
3500,4554.52,0.4098
4500,3560.81,0.4682
5500,2999.91,0.5154
6500,2593.55,0.5499
7500,2215.28,0.5816
8500,1966.65,0.6126
9500,1746.57,0.6375
10500,1608.35,0.6589
11500,1506.78,0.6812
12500,1388.99,0.7006
13500,1284.78,0.7176
14500,1195.84,0.7323
15500,1114.29,0.7459
16500,1050.73,0.759
17500,989.107,0.7716
18500,938.158,0.7822
19500,893.807,0.7917
20500,843.042,0.8006
21500,809.227,0.8078
22500,776.493,0.815
23500,745.209,0.824
24500,713.454,0.8301
25500,684.86,0.8358
26500,660.38,0.8411
27500,636.902,0.8474
28500,613.135,0.8537
29500,593.749,0.8588
30000,584.468,0.8624
