nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.3594,93.3594
1500,93.4062,93.4062
2500,93.4961,93.4961
3500,93.5117,93.5117
4500,93.4336,93.4336
5500,93.5,93.5
6500,93.4102,93.4102
7500,93.4727,93.4727
8500,93.5547,93.5547
9500,93.5977,93.5977
10500,93.4219,93.4219
11500,93.2969,93.2969
12500,93.5117,93.5117
13500,93.3945,93.3945
14500,93.332,93.332
15500,93.2227,93.2227
16500,93.5,93.5
17500,93.5977,93.5977
18500,93.4883,93.4883
19500,93.4102,93.4102
20500,93.4492,93.4492
21500,93.5391,93.5391
22500,93.2344,93.2344
23500,93.5625,93.5625
24500,93.4492,93.4492
25500,93.3477,93.3477
26500,93.4102,93.4102
27500,93.6016,93.6016
28500,93.5547,93.5547
29500,93.5938,93.5938
30000,93.3516,93.3516
