nprobe,QPS,Recall@10
500,157381,0.12114
1500,90035.1,0.30857
2500,58636.7,0.41534
3500,44113.1,0.48136
4500,35157.5,0.52973
5500,29183.7,0.56518
6500,25190.3,0.5924
7500,21987.9,0.61576
8500,19533.4,0.63612
9500,17539.5,0.65368
10500,15940.6,0.66892
11500,14578.5,0.68287
12500,13410.1,0.69524
13500,12422.4,0.70635
14500,11575.9,0.71631
15500,10861,0.72569
16500,10196.1,0.7342
17500,9622.67,0.74251
18500,9062.12,0.75001
19500,8477.68,0.75652
20500,8135.38,0.76288
21500,7754.99,0.76892
22500,7400.71,0.77506
23500,7071.25,0.78058
24500,6780.83,0.7861
25500,6514.88,0.791
26500,6271.28,0.79564
27500,6024.55,0.80006
28500,5819.31,0.8044
29500,5613.47,0.80864
30000,5528.64,0.81073
