nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.3,7627.3
1500,7627.18,7627.18
2500,7627.25,7627.25
3500,7627.05,7627.05
4500,7627.27,7627.27
5500,7627.13,7627.13
6500,7627.25,7627.25
7500,7627.21,7627.21
8500,7627.26,7627.26
9500,7626.94,7626.94
10500,7627.21,7627.21
11500,7626.91,7626.91
12500,7627.17,7627.17
13500,7627.03,7627.03
14500,7627.11,7627.11
15500,7627.12,7627.12
16500,7627.21,7627.21
17500,7627,7627
18500,7627.2,7627.2
19500,7627.31,7627.31
20500,7627.26,7627.26
21500,7627.06,7627.06
22500,7627.18,7627.18
23500,7627.22,7627.22
24500,7627.23,7627.23
25500,7627.29,7627.29
26500,7627.31,7627.31
27500,7627.21,7627.21
28500,7627.06,7627.06
29500,7627.21,7627.21
30000,7627.04,7627.04
