nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.54,1111.54
1500,1111.95,1111.95
2500,1111.66,1111.66
3500,1111.85,1111.85
4500,1111.91,1111.91
5500,1111.86,1111.86
6500,1111.78,1111.78
7500,1111.65,1111.65
8500,1111.71,1111.71
9500,1111.78,1111.78
10500,1111.84,1111.84
11500,1111.77,1111.77
12500,1111.75,1111.75
13500,1111.75,1111.75
14500,1111.82,1111.82
15500,1112.02,1112.02
16500,1111.85,1111.85
17500,1111.66,1111.66
18500,1111.77,1111.77
19500,1111.92,1111.92
20500,1111.78,1111.78
21500,1111.89,1111.89
22500,1111.97,1111.97
23500,1111.69,1111.69
24500,1111.64,1111.64
25500,1112.01,1112.01
26500,1111.87,1111.87
27500,1111.76,1111.76
28500,1111.54,1111.54
29500,1111.94,1111.94
30000,1111.78,1111.78
