nprobe,QPS,Recall@10
500,50037.4,0.967
1500,9974.86,0.967
2500,21020.8,0.967
3500,36906.9,0.967
4500,13966.8,0.967
5500,51331.7,0.967
6500,20693.8,0.967
7500,16945.9,0.967
8500,20407.2,0.967
9500,11052.5,0.967
10500,10409.8,0.967
11500,10034.5,0.967
12500,8063.94,0.967
13500,9030.89,0.967
14500,16299.1,0.967
15500,13584.7,0.967
16500,51523.6,0.967
17500,4884.46,0.967
18500,8712.88,0.967
19500,19564.2,0.967
20500,11018.7,0.967
21500,7039.39,0.967
22500,9613.86,0.967
23500,20227.4,0.967
24500,13036.7,0.967
25500,20637.9,0.967
26500,5112.64,0.967
27500,14955.1,0.967
28500,11155.7,0.967
29500,11720.6,0.967
30000,11474.6,0.967
