nprobe,peak_memory_before_MB,peak_memory_after_MB
500,99.9648,99.9648
1500,99.7461,99.7461
2500,100.078,100.078
3500,100.152,100.152
4500,99.9219,99.9219
5500,100.078,100.078
6500,99.8281,99.8281
7500,99.8906,99.8906
8500,99.918,99.918
9500,99.9219,99.9219
10500,100.129,100.129
11500,99.7656,99.7656
12500,100.176,100.176
13500,100.031,100.031
14500,100.043,100.043
15500,99.8477,99.8477
16500,99.9883,99.9883
17500,100.113,100.113
18500,100.07,100.07
19500,100.113,100.113
20500,99.8242,99.8242
21500,100.07,100.07
22500,100.055,100.055
23500,99.8438,99.8438
24500,100.09,100.09
25500,100.012,100.012
26500,99.9219,99.9219
27500,100.031,100.031
28500,99.6523,99.6523
29500,99.9102,99.9102
30000,99.8086,99.8086
