nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.84,1153.84
1500,1153.78,1153.78
2500,1154.14,1154.14
3500,1154,1154
4500,1154,1154
5500,1154.02,1154.02
6500,1154.18,1154.18
7500,1153.96,1153.96
8500,1154.08,1154.08
9500,1153.88,1153.88
10500,1153.88,1153.88
11500,1153.91,1153.91
12500,1153.8,1153.8
13500,1154.09,1154.09
14500,1153.86,1153.86
15500,1153.99,1153.99
16500,1153.87,1153.87
17500,1154.02,1154.02
18500,1154.09,1154.09
19500,1154.13,1154.13
20500,1153.91,1153.91
21500,1154.12,1154.12
22500,1153.82,1153.82
23500,1153.9,1153.9
24500,1154.08,1154.08
25500,1154.14,1154.14
26500,1153.95,1153.95
27500,1154.12,1154.12
28500,1153.9,1153.9
29500,1154,1154
30000,1153.94,1153.94
