nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.13,7505.13
1500,7505.28,7505.28
2500,7505.06,7505.06
3500,7505.17,7505.17
4500,7505.29,7505.29
5500,7505.25,7505.25
6500,7505.05,7505.05
7500,7505.14,7505.14
8500,7505.25,7505.25
9500,7505.06,7505.06
10500,7505.16,7505.16
11500,7505.15,7505.15
12500,7504.98,7504.98
13500,7504.93,7504.93
14500,7504.92,7504.92
15500,7504.95,7504.95
16500,7505.26,7505.26
17500,7505.01,7505.01
18500,7505.19,7505.19
19500,7504.93,7504.93
20500,7505.19,7505.19
21500,7505.25,7505.25
22500,7505.11,7505.11
23500,7505.23,7505.23
24500,7504.99,7504.99
25500,7505.11,7505.11
26500,7505.04,7505.04
27500,7504.98,7504.98
28500,7505.21,7505.21
29500,7505.03,7505.03
30000,7505.14,7505.14
