nprobe,QPS,Recall@10
500,5742.79,0.9665
1500,11074.3,0.977
2500,7746.01,0.9775
3500,9016.24,0.9775
4500,7561.86,0.9775
5500,7634.36,0.9775
6500,7549.01,0.9775
7500,8623.13,0.9775
8500,5454.59,0.9775
9500,7597.93,0.9775
10500,7612.24,0.9775
11500,7319.42,0.9775
12500,7135.11,0.9775
13500,6385.01,0.9775
14500,7304.53,0.9775
15500,7028.61,0.9775
16500,7106.14,0.9775
17500,6205.35,0.9775
18500,5586.53,0.9775
19500,2596.57,0.9775
20500,7315.24,0.9775
21500,7286.98,0.9775
22500,6830.52,0.9775
23500,7816.04,0.9775
24500,5941.93,0.9775
25500,6626.61,0.9775
26500,6618.73,0.9775
27500,7357.09,0.9775
28500,9501.82,0.9775
29500,6579.2,0.9775
30000,6802.29,0.9775
