nprobe,QPS,Recall@10
500,295.984,0.8275
1500,1066.03,0.9455
2500,761.36,0.9705
3500,594.751,0.9755
4500,489.473,0.9775
5500,409.411,0.978
6500,356.214,0.98
7500,311.554,0.981
8500,272.75,0.9805
9500,251.158,0.9805
10500,229.23,0.9805
11500,214.849,0.9805
12500,195.419,0.9805
13500,180.151,0.9805
14500,171.899,0.9805
15500,162.562,0.9805
16500,153.102,0.9805
17500,142.481,0.9805
18500,135.401,0.9805
19500,129.631,0.9805
20500,125.269,0.9805
21500,117.448,0.9805
22500,110.608,0.9805
23500,107.601,0.9805
24500,106.836,0.9805
25500,104.449,0.9805
26500,105.238,0.9805
27500,107.387,0.9805
28500,109.193,0.9805
29500,108.277,0.9805
30000,105.955,0.9805
