nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1276.25,1276.25
1500,1276.01,1276.01
2500,1276.14,1276.14
3500,1276.2,1276.2
4500,1276.18,1276.18
5500,1275.91,1275.91
6500,1276.23,1276.23
7500,1276.01,1276.01
8500,1276.07,1276.07
9500,1276.02,1276.02
10500,1276.13,1276.13
11500,1275.87,1275.87
12500,1276.18,1276.18
13500,1276.05,1276.05
14500,1275.95,1275.95
15500,1275.97,1275.97
16500,1275.91,1275.91
17500,1275.96,1275.96
18500,1276,1276
19500,1275.83,1275.83
20500,1275.96,1275.96
21500,1275.95,1275.95
22500,1276.01,1276.01
23500,1276.01,1276.01
24500,1276.12,1276.12
25500,1276.21,1276.21
26500,1276,1276
27500,1275.98,1275.98
28500,1275.89,1275.89
29500,1276.26,1276.26
30000,1276.15,1276.15
